,text,label,hashtags
0,“Worry is a down payment on a problem you may never have'. Joyce Meyer.,2,"motivation,leadership,worry"
1,My roommate: it's okay that we can't spell because we have autocorrect.,0,"terrible,firstworldprobs"
2,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist.,3,college
3,@user broadband is shocking regretting signing up now,0,"angry,shouldofgonewithvirgin"
4,@user Look at those teef!,0,growl
5,@user @user USA was embarrassing to watch. When was the last time you guys won a game..?,0,"horrible,joke"
6,NewYork: Several Baloch & Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting terror into India,3,"NewYork:,Baloch,terror"
7,What a fucking muppet. @user,0,stalker.
8,@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩,0,"needstobeadmitted,bully"
9,I have a rage rage ep 2 coming out soon I'll keep you posted on it,0,"YouTube,youtubegaming,rage"
10,Why have I only just started watching glee this week I am now addicted 🙄,1,"glee,GLEEK"
11,"Jorge deserves it, honestly. He's weak.",0,90dayfiance
12,@user @user ditto!! Such an amazing atmosphere!,1,"PhilippPlein,cheerleaders,stunt,LondonEvents,cheer"
13,"Interview preparation, I hate talking about myself, one dull subject matter!",0,yawnoff
14,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway.",0,concern
15,“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and,2,"Prejudice)\nQuotes,Courage,FaceYourFears"
16,@user Tried 2 get earlier flt 2day @user Turnd away bcuz it was 2 late Then agent let other pas on,3,silvereliteleftbehind
17,"@user I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it",3,sad
18,"Val got a little too big for her hiking boots with that bakewell, the little terror",1,GBBO
19,@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis,0,angry
20,Thank you disney themed episode for letting me discover how amazing the @user are!,1,hilarious
21,Need a new outlet for,0,rage
22,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂,1,HereWeGo
23,@user @user wow. not heard this in forever. Random but. great,1,"sting,xph"
24,"Happy Birthday, LOST! /",1,"lost,dharmainitiative,12years,22september2004,oceanic815"
25,"PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside.",3,"PeopleLikeMeBecause,depression,anxietyprobz"
26,FF \n\n@The_Family_X \n\nsoul blues & rock band\n\nmusic from the heart\n\nWith soul & passion \n\nXx 🎶 xX,1,"FF,\n\nsoul,blues,rock,band\n\nmusic,heart\n\nWith,passion"
27,My fav movies are horror but they don't make them like they used too. Haven't seen a great one in years,3,"movies,horror"
28,"Sometimes I like to talk about my sadness. Other times, I just want to be distracted by friends, laughter, shopping, eating...",3,\n\nMHChat
29,Noooooo @user without MaryBerry will be awful endofanera going 2b so lost @user have bought a lameduck there,0,"MaryBerry,awful,endofanera,lost,lameduck,notallaboutthemoney"
30,"PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside.",3,"PeopleLikeMeBecause,depression,anxiety,anxietyprobz"
31,ThisIsUs has messed with my mind & now I'm anticipating the next episode with apprehension &,1,"ThisIsUs,apprehension,delight!,isthereahelplineforthis"
32,@user Old age?! No hope for the rest of us. Destined to become deatheaters by 50,3,nightmare
