,text,label,hashtags
0,Love love love all these people ️ ️ ️ friends bff celebrate blessed sundayfunday @ San…,0,"friends,bff,celebrate,blessed,sundayfunday"
1,Man these are the funniest kids ever!! That face! HappyBirthdayBubb @ FLIPnOUT Xtreme,2,HappyBirthdayBubb
2,"sandiego @ San Diego, California",11,sandiego
3,My little ️ ️ ️ ️ ️ ObsessedWithMyDog @ Cafe Solstice Capitol Hill,0,ObsessedWithMyDog
4,"More tinyepic things tinyepicwestern, this one is crazy @user I may be one of your…",19,"tinyepic,tinyepicwestern,"
5,friendship at its finest.,7,"....pixar,toystory,buzz,woody,friends,friendship,bff…"
6,I took a pic with Eminem! *still not over that performance vibe from,1,parrisproject!…
7,Sundays are all about the cute babies and dogs!,1,"Ballard,sundaymarket,littelestmodel…"
8,"Sometimes you just have to be a kid Skyspace, Los Angeles.",19,"CRStylesTravel,FunDay,LALife…"
9,This is why I hate when Taylor visits Bunny NotCaturday @ Our House,2,"Bunny,NotCaturday"
10,2nd theater and 3rd movie of the day a new record badmoms suicidesquad sausageparty (at @user,2,"badmoms,suicidesquad,sausageparty"
11,"In honor of happygayunclesday ️ happygunclesday guncle guncles @ Chula Vista, California",0,"happygayunclesday,happygunclesday,guncle,guncles"
12,Chasing mclarenp1 in Malibu today.________________________________________ : credit: @user,10,mclarenp1
13,"Lunch @user best Ribs in SanDiego (at @user in San Diego, CA)",14,"Lunch,Ribs,SanDiego"
14,"Here's to the start of a great adventure. Niners today, Alaska tomorrow. grams @ Levi's Stadium",1,grams
15,Really horrible seats for a really awful Sunday afternoon! Life is really bad,16,soundersfc.…
16,"Enjoy your last days of summer! Clearly, mauricethewhale is enjoying his!",2,ladykiller…
17,In the zone | : @user colorsworldwide RnBOnly @ The Regent,18,"colorsworldwide,RnBOnly"
18,“Me & Catherine Sutherland!!!”,6,"PowerMorphicon2016,PowerRangersZeo,PowerRangersTurbo…"
19,Taped up and dripped out. Know what I'm talking bout,6,"paint,painting,diy,homeimprovement…"
20,"Stay classy SanDiego (@ San Diego International Airport - @user in San Diego, CA)",14,SanDiego
21,SnakeShred recording guitars for the new SnakeSkin record,19,"guitar,recording,api,apipegged…"
22,"My sisters, my best friends",13,"hamessisters,andlewisandclark…"
23,To live is an awfully big adventure Seattle spaceneedle @ Space Needle,8,"Seattle,spaceneedle"
24,Finally met Snow White ! She was my favorite when i was little :) SnowWhite Disneyland @user,0,"SnowWhite,Disneyland"
25,All the beautiful ladies that helped make last night APositiveExperience @ Upscale Salon,7,APositiveExperience
26,Sunday funday indeed,6,"sundayfunday,igers,igdaily,instalike,enjoylife,asian,LA…"
27,My key was still here...thank the Lawd,0,"littlehoneyvee,doodles,doodleoftheday,illustration…"
28,Just like the movie... Radiator Springs ️,0,"cars,inlove…"
29,Cheers to Bruce on his birthday.,0,️westhollywood…
30,My bears! cityfest ️ ️ ️ @ Babycakes San Diego,0,cityfest
31,gonna miss you guys so much. thank you for an amazing experience,0,️ballyhoocarrie…
32,MATTRESS HELPER - new again SAGGING,7,"BED,FIRMER,fix,guaranteed,sleepless,needsleep…"
33,ExclusiveBaseballPicks are KILLING the Bookie like always. WeeklyRecap 8/8-8/14. 96-3…,19,"ExclusiveBaseballPicks,Bookie,WeeklyRecap"
34,"My lady love beautiful friend doubleLtrouble leilavie beachour @ Stinson Beach, California",1,"doubleLtrouble,leilavie,beachour"
35,️ gramma @ Living Way Christian Fellowship,0,gramma
36,Acquired this stunner today at my new favorite spot Sharks Tooth,1,crassula.…
37,Birthday cheers with my favorite,14,"people!!26again,justafewofmygirls,justafewofmygirls…"
38,Taking bae to all my favorite LA spots. gettycenter @ Getty Center,8,"LA,gettycenter"
39,"So much fun this weekend celebrating the bride to be. MalliesLastRally @ Las Vegas, Nevada",3,MalliesLastRally
40,So cute!! KnottsBerryFarm Charlie Snoopy Woodstock @ Knott's Berry Farm,1,"KnottsBerryFarm,Charlie,Snoopy,Woodstock"
41,No I don't have any carrots!! seattlepoloclub horse horses @ Seattle Polo & Equestrian Club,2,"seattlepoloclub,horse,horses"
42,My favourite place in California YosemiteNationalPark California @ Yosemite Wilderness,1,"YosemiteNationalPark,California"
43,sundayfunday live at allure... @user @user @user,6,"sundayfunday,live"
44,"My babies ️ ️ ️ cat dog catsofinstagram dogsofinstagram lovemyfurbabies @ Port Hueneme,…",0,"cat,dog,catsofinstagram,dogsofinstagram,lovemyfurbabies"
