,text,label,hashtags
0,Now I remember why I buy books online @user,1,servicewithasmile
1,@user @user So is he banded from wearing the clothes?,1,Karma
2,Just found out there are Etch A Sketch apps.,1,"oldschool,notoldschool"
3,@user on stage at flzjingleball at the @user in,0,"flzjingleball,Tampa,iheartradio"
4,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself,1,slowclap
5,🙀😱🙀😱🙀😱 POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,1,POPCORN!!!!!!
6,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good,0,WalkingDead
7,Need to get back in to college..,0,"feeling,this"
8,Thank god she doesn't get me to do this anymore!!! ellielippitt,0,"barber,hairdresser,blondie..."
9,I refuse to be weak...,0,"workout,motivation,fitfam"
10,@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise,1,GoodellMustGo
11,Love that I still have kids that still wake up early on Christmas,1,justkiddingIlovethem
12,That moment when you have so much stuff to do but you open @user ...,1,"productivity,tumblr"
13,Oh god I just so happens that i love really LOVE slow internet,1,slowinternet
14,Breaking up with your girl so you don't have to buy her any presents ||lowbudget smartmove a good idea butscheming doe,0,"||lowbudget,smartmove,a,good,idea,butscheming"
15,Glad there's not a typhoon where we go on holiday in 4 weeks.,1,fml
16,LOL with all due Respect to KobeBryant .. he is MJ ^_^ but damn near Close !!,0,"LOL,Respect,KobeBryant,MJ,Close,Legends"
17,"notcies eu Liverpool workers ""miscarriage of justice"" victims",0,"notcies,eu"
18,"@user yesss! What makes it worse is when they look gorgeous and say ""I just got my face beat!"" Wtf?",1,Contradiction
19,This is not the moon. Pictures like the moon is made of light bulbs. the moon :),0,"the,moon"
20,I got ready and then got to school and parked in less than 12 minutes!,0,miracle
21,MLS Transactions 2015 MLS making waves again 2 b fair it will take more than 2 players to fix this,1,MLS
22,Porygon2 are found in the www.monstermmorpg. com wild. firemen follow @user,0,"firemen,paint"
23,Fully charged my Anker portable charger...it lasted 1/2 an hour. Awesome,1,"Anker,Fail"
24,Italy -- Cabinet approves first planks of Renzi's labour reform. via @user,0,"Italy,Cabinet,approves,first,planks,Renzi's,labour,reform."
25,ruling party in powercentralstatemisusing their powerPM speaking only in foreign parlimentpm to visit out side india during session,0,"powercentralstatemisusing,powerPM,parlimentpm"
26,Gareth's polar opposite is a chicken-loving vegetarian 😂🐣 Bones @user,1,Bones
27,Watching creepy shit before bed when alone = bad idea. Is there a spell to turn a French bulldog into a big ass bulldog?,1,bewareofdog
28,Had to take a PatioPics - snow falling still. This was totally clear when I went to sleep.,0,"PatioPics,WCCO"
29,"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with",0,me|nov26
30,My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun.,1,"psn,giveitup"
31,"Tomorrow's afternoon NFL sked in PanamaCity area: WECP 12p KCvsPIT, 3:25p INDvsDAL; WPGX 12p",0,"NFL,PanamaCity,KCvsPIT,,INDvsDAL;,ATLvsNO."
32,@user @user I sure hope ev1 vaccinations are up to date! GoBolts @user @user @user,0,GoBolts
33,Pulis turned down NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA.,0,"NUFC,cpfc"
34,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that",1,retweetifagree
35,Thanks @user for connecting. Always look forward to exchange thoughts n ideas with entrepreneur working on green n,0,"entrepreneur,green,sustainability"
36,Seems as if @user wants to endorse me on LinkedIn for - any thoughts on this from the OMCchat crowd?,0,OMCchat
37,Christmas been the best @ West Monkseaton,0,"Christmas,been,the,best"
38,About to fuck up this Media exam,1,actuallyihopeso
39,I feel a nap in my near future.,0,NapTime
40,AnalScreen Exotic Exotic brunette gets her little tight butt nailed right on the office desk,0,"AnalScreen,Exotic"
41,sundayfunday mylove mermaidlove newyear2015 @ Rockefeller Center,0,"sundayfunday,mylove,mermaidlove,newyear2015"
42,hmmm. I do wonder why Astec has one fewer employee?,1,lol
43,Germany -- ECB's Weidmann says German 2015 growth may be better than expected. via @user,0,"Germany,ECB's,Weidmann,says,German,2015,growth,may,be,better,than,expected."
44,@user NoodleScene anyone? He was so zen there. . Oh! wait! But deadHenry and bouncebackAnnie. Silly me! All makes sense now!,1,"NoodleScene,deadHenry,bouncebackAnnie."
45,"I love that when a female expresses herself in an emphatic manner, it's always attributed to her menstrual cycle. -Mags",1,PMS
46,These girls can wake up people from the dead!,0,"worth,watching"
47,Remember that one episode Santana wanted to be a dancer but then forgot about it altogether. Good times. Good times.,1,Glee
48,To all u deadbeatdads ur not worth a hair on our kids heads.. Tough being a singlemom but at least my beautiful daughter is loved by Me,0,"deadbeatdads,kids,singlemom,beautiful,daughter"
49,Feeling the irony of using to find people ironically using the work irony wrong.,1,metahipster
50,Sessions!! why scary canary sydney australia by lavin56,0,"why,scary,canary,sydney,australia"
