,text,label,hashtag_cnt
0,Love love love all these people ️ ️ ️ #friends #bff #celebrate #blessed #sundayfunday @ San…,0,5.0
1,Man these are the funniest kids ever!! That face! #HappyBirthdayBubb @ FLIPnOUT Xtreme,2,1.0
2,"#sandiego @ San Diego, California",11,1.0
3,My little ️ ️ ️ ️ ️ #ObsessedWithMyDog @ Cafe Solstice Capitol Hill,0,1.0
4,"More #tinyepic things #tinyepicwestern, this one is crazy @user I may be one of your…",19,2.0
5,friendship at its finest. ....#pixar #toystory #buzz #woody #friends #friendship #bff…,7,7.0
6,I took a pic with Eminem! *still not over that performance vibe from #parrisproject!…,1,1.0
7,Sundays are all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,1,3.0
8,"Sometimes you just have to be a kid Skyspace, Los Angeles. #CRStylesTravel #FunDay #LALife…",19,3.0
9,This is why I hate when Taylor visits #Bunny #NotCaturday @ Our House,2,2.0
10,2nd theater and 3rd movie of the day a new record #badmoms #suicidesquad #sausageparty (at @user,2,3.0
11,"In honor of #happygayunclesday ️ #happygunclesday #guncle #guncles @ Chula Vista, California",0,4.0
12,Chasing #mclarenp1 in Malibu today.________________________________________ : credit: @user,10,1.0
13,"#Lunch @user best #Ribs in #SanDiego (at @user in San Diego, CA)",14,3.0
14,"Here's to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi's Stadium",1,1.0
15,Really horrible seats for a really awful Sunday afternoon! Life is really bad #soundersfc.…,16,1.0
16,"Enjoy your last days of summer! Clearly, mauricethewhale is enjoying his! #ladykiller…",2,1.0
17,In the zone | : @user #colorsworldwide #RnBOnly @ The Regent,18,2.0
18,“Me & Catherine Sutherland!!!” #PowerMorphicon2016 #PowerRangersZeo #PowerRangersTurbo…,6,3.0
19,Taped up and dripped out. Know what I'm talking bout #paint #painting #diy #homeimprovement…,6,4.0
20,"Stay classy #SanDiego (@ San Diego International Airport - @user in San Diego, CA)",14,1.0
21,SnakeShred recording guitars for the new SnakeSkin record #guitar #recording #api #apipegged…,19,4.0
22,"My sisters, my best friends #hamessisters #andlewisandclark…",13,2.0
23,To live is an awfully big adventure #Seattle #spaceneedle @ Space Needle,8,2.0
24,Finally met Snow White ! She was my favorite when i was little :) #SnowWhite #Disneyland @user,0,2.0
25,All the beautiful ladies that helped make last night #APositiveExperience @ Upscale Salon,7,1.0
26,Sunday funday indeed #sundayfunday #igers #igdaily #instalike #enjoylife #asian #LA…,6,7.0
27,My key was still here...thank the Lawd #littlehoneyvee #doodles #doodleoftheday #illustration…,0,4.0
28,Just like the movie... Radiator Springs ️ #cars #inlove…,0,2.0
29,Cheers to Bruce on his birthday. ️#westhollywood…,0,1.0
30,My bears! #cityfest ️ ️ ️ @ Babycakes San Diego,0,1.0
31,gonna miss you guys so much. thank you for an amazing experience ️#ballyhoocarrie…,0,1.0
