,text,label,hashtags
0,"Sunday afternoon walking through Venice in the sun with @user ️ ️ ️ @ Abbot Kinney, Venice",12,
1,"Time for some BBQ and whiskey libations. Chomp, belch, chomp! (@ Lucille's Smokehouse Bar-B-Que)",19,
2,Last night ️ @ Omnia Night Club At Caesars Palace,0,
3,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1,
4,Dem shoes tho! Lol! ...I'm getting some! Get ready copleypriceymca…,2,
5,"I love weekends with you, calebrancourt @ Cannery Row At Monterey Bay, CA",9,
6,"Yesss! August is full of love and birthdays ️ @ Los Angeles,…",0,
7,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1,
8,it was too hot .. trying to find shade behind @user at the roadraceengineering booth…,4,
9,"had an amazing night, with some pretty amazing people @ Pandora Summer",8,
10,Thank you @user for an incredible night last night @ Shrine Auditorium & Expo Hall,7,
11,thanks for the amazing night @ Pandora Summer,8,
12,@user draw the line ~,5,
13,"thank you to my boys for performing so well last night, I love you all very much @ Pandora…",8,
14,"I think it's nap time for us @ Los Angeles, California",1,
15,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1,
16,Sunday afternoon at home! Drinking good wine and enjoying this incredible view to the sound of…,8,
17,Surprised everyone by actually surviving a weekend in the wild (however still came close to…,14,
18,"princesscruises @ Port of Seattle, Pier 91",8,
19,I ️ the people I work with. Enjoying our Sunday watching the first…,0,
20,Another big happy 18th birthday to my partner in crime ️ I love u and all the crazy times we've…,0,
21,Day is DONE! Thank u INSTA-LIKERS! Rollicking day at FRINGE! C U THURSDAY~~~and then some .…,9,
22,my absolute favorite place. @ La Jolla Cove Seal Beach,3,
23,"@user loved your coverage at TI as always, now need to get you on some of those Sounders matches...",16,
24,Saturdayzzz w/ Lionel Richie @ Harvey's Outdoor Ampitheater,7,
25,"Lights, Camera, Action @ Hollywood Walk of Fame",6,
26,Found your Unicorn @user it's a pillow/stuffed toy and every pride weekend it…,2,
27,Harry Potter ️ @ TCL Chinese Theatres,0,
28,"️ ️ ️ @ Los Angeles, California",0,
29,Absolutely in love with this ethereal glow on holytolidoitseric. Who would rock this look?…,1,
30,"Getting up that ice wall one ax at a time : pechoi11 @ Mount Shasta, California",18,
31,Sephora is my favorite place @ SEPHORA,7,
32,Tutorial time w/ @user @user @ Stern Grove Festival,2,
33,"I love my people! @ Paso Robles, California",8,
34,Rad Fashion at the midway SF on a Sunday ️ ️ ️ @ The Midway SF,0,
35,"Just that sound alone makes the world stop ️ @ Sausalito, California",0,
36,My date for tonight @ Hotel Las Rocas,1,
37,This weekend love was truly in the air but out of all the celeb weddings I have to say…,0,
38,@user hi from Tijuana B.C. See you soon,14,
39,today was my first day of work at Victoria Secret SO happy and SO…,1,
