,text,label,hashtags
0,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,1,
1,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",0,
2,it's pretty depressing when u hit pan on ur favourite highlighter,3,
3,@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,0,
4,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,1,
5,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic & all that is wrong with the world today.,0,
6,Autocorrect changes ''em' to 'me' which I resent greatly,0,
7,@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,0,
8,@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,0,
9,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,2,
10,@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,2,
11,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,2,
12,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",3,
13,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",0,
14,@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,0,
15,@user @user nah way that's horrible,0,
16,@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,0,
17,angel delight is my everything,1,
18,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,0,
19,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,1,
20,@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),0,
21,Manchester derby at home,1,
22,her; i want a playful relationship\nme; *kicks her off the couch*,1,
23,Romero is fucking dreadful like seriously my 11 month old is better than him.,0,
24,"@user It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",0,
25,@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,3,
26,so gutted i dropped one of my earrings down the sink at school,3,
27,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",1,
28,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user",1,
29,I'm so bored and fat and full and ridiculously overweight and rolls galore,3,
30,"@user Flirt, simper, pout, repeat. Yuck.",0,
31,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",0,
32,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @user will know,0,
33,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",0,
34,Nor hell a fury like a woman scorned -- William Congreve,0,
35,@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,1,
36,May the optimism of tomorrow be your foundation for today.,2,
37,"@user @user @user \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",0,
38,@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,0,
39,People who go the speed limit irritate me,0,
40,@user @user ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,0,
41,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,0,
42,After what just happened. In need to smoke.,0,
43,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,0,
44,"@user I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",1,
45,@user so this houses will get into my instestines and scare my poop and I'll shit my pants?,0,
46,@user @user @user \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,0,
47,"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",1,
48,"@user it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",0,
