,text,label,hashtags
0,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,1,
1,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",0,
2,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",1,
3,Halfway thorough my workday ... Woooo,1,
4,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,1,
5,I forked node!  Get ready for the future.  (Where's my interviews),0,
6,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",0,
7,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",1,
8,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,1,
9,@user Can U use Smartphone?|| APP PAYS you!|See- |Go 2:,0,
10,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",0,
11,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,1,
12,Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief| <,0,
13,No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,0,
14,@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,1,
15,Why YES! Of course I use  a lot in my day....because violence is illegal.,1,
16,I hate plane rides but I wanna go to so many different countries,1,
17,Stop being the fan. And be the person blowing minds.,1,
18,Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,1,
19,I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,0,
20,"@user Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",1,
21,Simply having a wonderful christmas time :D,0,
22,isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,1,
23,"@user @user you don't know a damned thing about baseball, do you?",0,
24,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!",1,
25,All I can say is I'm lucky.,0,
26,Xmas on the blog feat @user and @user * Read our story and share the LOVE ❤️ Click the link...,0,
27,"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.",1,
28,"@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",1,
29,I don't like clowns but I'm going to be one.,1,
30,@user I'll be a bit sweaty by the time I get to you!,0,
31,a bad game last night. Way to go Packers!,0,
